Sample	Taxon	Rank	Counts	Percent
611894955_NA0019790070_4_mouth	Streptococcus	genus	31722	31.3930013459
611894955_NA0019790070_4_mouth	Streptococcus gordonii	species	37	0.0366162615787
611894955_NA0019790070_4_mouth	Streptococcus thermophilus	species	2	0.00197925738263
611894955_NA0019790070_4_mouth	Streptococcus mutans	species	3	0.00296888607395
611894955_NA0019790070_4_mouth	Streptococcus pneumoniae	species	2	0.00197925738263
611894955_NA0019790070_4_mouth	Streptococcus parasanguinis	species	5990	5.92787586098
611894955_NA0019790070_4_mouth	Gemella	genus	6004	5.94173066266
611894955_NA0019790070_4_mouth	Atopobium	genus	14	0.0138548016784
611894955_NA0019790070_4_mouth	Atopobium parvulum	species	2	0.00197925738263
611894955_NA0019790070_4_mouth	Atopobium rimae	species	3	0.00296888607395
611894955_NA0019790070_4_mouth	Bacillales	order	6004	5.94173066266
611894955_NA0019790070_4_mouth	Corynebacteriaceae	family	191	0.189019080041
611894955_NA0019790070_4_mouth	Actinomyces	genus	3161	3.12821629325
611894955_NA0019790070_4_mouth	Actinomyces viscosus	species	164	0.162299105376
611894955_NA0019790070_4_mouth	Actinomyces odontolyticus	species	2209	2.18608977911
611894955_NA0019790070_4_mouth	Corynebacterium	genus	191	0.189019080041
611894955_NA0019790070_4_mouth	Cutibacterium acnes	species	2	0.00197925738263
611894955_NA0019790070_4_mouth	Pseudopropionibacterium propionicum	species	5	0.00494814345658
611894955_NA0019790070_4_mouth	Actinobacteria	class	7721	7.64092312564
611894955_NA0019790070_4_mouth	Mycobacteriaceae	family	66	0.0653154936268
611894955_NA0019790070_4_mouth	Mycobacterium	genus	13	0.0128651729871
611894955_NA0019790070_4_mouth	Actinomycetales	order	3161	3.12821629325
611894955_NA0019790070_4_mouth	Rothia dentocariosa	species	401	0.396841105217
611894955_NA0019790070_4_mouth	Actinomycetaceae	family	3161	3.12821629325
611894955_NA0019790070_4_mouth	Mycoplasmatales	order	42	0.0415644050352
611894955_NA0019790070_4_mouth	Mycoplasmataceae	family	42	0.0415644050352
611894955_NA0019790070_4_mouth	Mycoplasma	genus	42	0.0415644050352
611894955_NA0019790070_4_mouth	Acholeplasmataceae	family	2	0.00197925738263
611894955_NA0019790070_4_mouth	unclassified Bacteria	no_rank	2026	2.0049877286
611894955_NA0019790070_4_mouth	Vagococcus	genus	13	0.0128651729871
611894955_NA0019790070_4_mouth	Vagococcus salmoninarum	species	4	0.00395851476526
611894955_NA0019790070_4_mouth	Peptococcus	genus	11	0.0108859156045
611894955_NA0019790070_4_mouth	Streptococcus mitis	species	4	0.00395851476526
611894955_NA0019790070_4_mouth	Tannerella forsythia	species	14	0.0138548016784
611894955_NA0019790070_4_mouth	Porphyromonas endodontalis	species	17	0.0168236877524
611894955_NA0019790070_4_mouth	Prevotella intermedia	species	4	0.00395851476526
611894955_NA0019790070_4_mouth	Prevotella oris	species	82	0.0811495526878
611894955_NA0019790070_4_mouth	Prevotella oulorum	species	10	0.00989628691315
611894955_NA0019790070_4_mouth	Betaproteobacteria	class	2981	2.95008312881
611894955_NA0019790070_4_mouth	Deltaproteobacteria	class	2	0.00197925738263
611894955_NA0019790070_4_mouth	Gemella morbillorum	species	5953	5.8912595994
611894955_NA0019790070_4_mouth	Veillonella	genus	11326	11.2085345578
611894955_NA0019790070_4_mouth	Veillonella parvula	species	3623	3.58542474863
611894955_NA0019790070_4_mouth	Epsilonproteobacteria	class	562	0.556171324519
611894955_NA0019790070_4_mouth	Propionibacteriaceae	family	35	0.034637004196
611894955_NA0019790070_4_mouth	Mollicutes	class	44	0.0435436624179
611894955_NA0019790070_4_mouth	Veillonellaceae	family	11744	11.6221993508
611894955_NA0019790070_4_mouth	Clostridiaceae	family	24	0.0237510885916
611894955_NA0019790070_4_mouth	Fusobacteria	phylum	2092	2.07030322223
611894955_NA0019790070_4_mouth	Leptotrichia	genus	482	0.477001029214
611894955_NA0019790070_4_mouth	Rothia	genus	4268	4.22373525453
611894955_NA0019790070_4_mouth	Kingella	genus	15	0.0148444303697
611894955_NA0019790070_4_mouth	Parvimonas micra	species	348	0.344390784578
611894955_NA0019790070_4_mouth	Streptobacillus	genus	21	0.0207822025176
611894955_NA0019790070_4_mouth	Dialister	genus	26	0.0257303459742
611894955_NA0019790070_4_mouth	Dialister pneumosintes	species	11	0.0108859156045
611894955_NA0019790070_4_mouth	Porphyromonas catoniae	species	5289	5.23414614837
611894955_NA0019790070_4_mouth	Rothia mucilaginosa	species	3620	3.58245586256
611894955_NA0019790070_4_mouth	Corynebacterium matruchotii	species	41	0.0405747763439
611894955_NA0019790070_4_mouth	Johnsonella	genus	28	0.0277096033568
611894955_NA0019790070_4_mouth	Johnsonella ignava	species	6	0.00593777214789
611894955_NA0019790070_4_mouth	Catonella	genus	60	0.0593777214789
611894955_NA0019790070_4_mouth	Catonella morbi	species	60	0.0593777214789
611894955_NA0019790070_4_mouth	Filifactor	genus	28	0.0277096033568
611894955_NA0019790070_4_mouth	Capnocytophaga granulosa	species	6	0.00593777214789
611894955_NA0019790070_4_mouth	Abiotrophia	genus	190	0.18802945135
611894955_NA0019790070_4_mouth	Granulicatella adiacens	species	6669	6.59983374238
611894955_NA0019790070_4_mouth	Abiotrophia defectiva	species	190	0.18802945135
611894955_NA0019790070_4_mouth	Lautropia	genus	63	0.0623466075528
611894955_NA0019790070_4_mouth	Flavobacteriaceae	family	560	0.554192067136
611894955_NA0019790070_4_mouth	Actinobacillus porcinus	species	183	0.181102050511
611894955_NA0019790070_4_mouth	Actinomyces gerencseriae	species	29	0.0286992320481
611894955_NA0019790070_4_mouth	Actinomyces graevenitzii	species	94	0.0930250969836
611894955_NA0019790070_4_mouth	Bergeyella	genus	311	0.307774522999
611894955_NA0019790070_4_mouth	Prevotella pallens	species	75	0.0742221518486
611894955_NA0019790070_4_mouth	Corynebacterium durum	species	148	0.146465046315
611894955_NA0019790070_4_mouth	Bacteroidetes/Chlorobi group	no_rank	20013	19.8054389993
611894955_NA0019790070_4_mouth	delta/epsilon subdivisions	subphylum	564	0.558150581902
611894955_NA0019790070_4_mouth	Streptococcus peroris	species	35	0.034637004196
611894955_NA0019790070_4_mouth	Campylobacteraceae	family	562	0.556171324519
611894955_NA0019790070_4_mouth	Tessaracoccus	genus	28	0.0277096033568
611894955_NA0019790070_4_mouth	Alloprevotella tannerae	species	37	0.0366162615787
611894955_NA0019790070_4_mouth	Burkholderiales	order	63	0.0623466075528
611894955_NA0019790070_4_mouth	Enterococcaceae	family	13	0.0128651729871
611894955_NA0019790070_4_mouth	Vagococcus lutrae	species	9	0.00890665822184
611894955_NA0019790070_4_mouth	Centipeda	genus	115	0.113807299501
611894955_NA0019790070_4_mouth	Centipeda periodontii	species	50	0.0494814345658
611894955_NA0019790070_4_mouth	Coriobacteriia	class	14	0.0138548016784
611894955_NA0019790070_4_mouth	Coriobacteriales	order	14	0.0138548016784
611894955_NA0019790070_4_mouth	Micrococcales	order	4268	4.22373525453
611894955_NA0019790070_4_mouth	Corynebacteriales	order	257	0.254334573668
611894955_NA0019790070_4_mouth	Propionibacteriales	order	35	0.034637004196
611894955_NA0019790070_4_mouth	Mogibacterium	genus	143	0.141516902858
611894955_NA0019790070_4_mouth	Mogibacterium pumilum	species	143	0.141516902858
611894955_NA0019790070_4_mouth	Bacilli	class	45213	44.7440820204
611894955_NA0019790070_4_mouth	Candidatus Saccharibacteria	phylum	2026	2.0049877286
611894955_NA0019790070_4_mouth	Solobacterium moorei	species	229	0.226624970311
611894955_NA0019790070_4_mouth	Leptotrichia trevisanii	species	2	0.00197925738263
611894955_NA0019790070_4_mouth	Streptococcus australis	species	11	0.0108859156045
611894955_NA0019790070_4_mouth	Granulicatella	genus	7266	7.19064207109
611894955_NA0019790070_4_mouth	Flavobacteriia	class	560	0.554192067136
611894955_NA0019790070_4_mouth	Bulleidia	genus	3	0.00296888607395
611894955_NA0019790070_4_mouth	Bulleidia extructa	species	3	0.00296888607395
611894955_NA0019790070_4_mouth	Burkholderiaceae	family	63	0.0623466075528
611894955_NA0019790070_4_mouth	Solobacterium	genus	229	0.226624970311
611894955_NA0019790070_4_mouth	Erysipelotrichaceae	family	232	0.229593856385
611894955_NA0019790070_4_mouth	cellular organisms	no_rank	101048	100.0
611894955_NA0019790070_4_mouth	Pasteurellales	order	6589	6.52066344707
611894955_NA0019790070_4_mouth	Granulicatella elegans	species	586	0.579922413111
611894955_NA0019790070_4_mouth	Filifactor alocis	species	28	0.0277096033568
611894955_NA0019790070_4_mouth	Leptotrichia goodfellowii	species	7	0.00692740083921
611894955_NA0019790070_4_mouth	Actinomyces sp. oral strain Hal-1083	species	3	0.00296888607395
611894955_NA0019790070_4_mouth	Bacteroidales	order	19453	19.2512469322
611894955_NA0019790070_4_mouth	Porphyromonadaceae	family	5446	5.3895178529
611894955_NA0019790070_4_mouth	Prevotellaceae	family	13983	13.8379779907
611894955_NA0019790070_4_mouth	Rothia aeria	species	163	0.161309476684
611894955_NA0019790070_4_mouth	Acholeplasmatales	order	2	0.00197925738263
611894955_NA0019790070_4_mouth	Clostridia	class	1222	1.20932626079
611894955_NA0019790070_4_mouth	Clostridiales	order	1222	1.20932626079
611894955_NA0019790070_4_mouth	Lachnospiraceae	family	504	0.498772860423
611894955_NA0019790070_4_mouth	Peptostreptococcaceae	family	431	0.426529965957
611894955_NA0019790070_4_mouth	Peptococcaceae	family	11	0.0108859156045
611894955_NA0019790070_4_mouth	unclassified Clostridiales	no_rank	3	0.00296888607395
611894955_NA0019790070_4_mouth	Lactobacillales	order	39209	38.8023513578
611894955_NA0019790070_4_mouth	Aerococcaceae	family	190	0.18802945135
611894955_NA0019790070_4_mouth	Carnobacteriaceae	family	7266	7.19064207109
611894955_NA0019790070_4_mouth	Megasphaera micronuciformis	species	392	0.387934446995
611894955_NA0019790070_4_mouth	Dialister sp. E2_20	species	15	0.0148444303697
611894955_NA0019790070_4_mouth	Alysiella	genus	9	0.00890665822184
611894955_NA0019790070_4_mouth	Tannerella	genus	24	0.0237510885916
611894955_NA0019790070_4_mouth	Bacteroidia	class	19453	19.2512469322
611894955_NA0019790070_4_mouth	Flavobacteriales	order	560	0.554192067136
611894955_NA0019790070_4_mouth	Actinobacteria	phylum	7735	7.65477792732
611894955_NA0019790070_4_mouth	Fusobacteriia	class	2092	2.07030322223
611894955_NA0019790070_4_mouth	Fusobacteriales	order	2092	2.07030322223
611894955_NA0019790070_4_mouth	Fusobacteriaceae	family	1589	1.5725199905
611894955_NA0019790070_4_mouth	Spirochaetes	phylum	56	0.0554192067136
611894955_NA0019790070_4_mouth	Spirochaetia	class	56	0.0554192067136
611894955_NA0019790070_4_mouth	Neisseriales	order	2918	2.88773652126
611894955_NA0019790070_4_mouth	Desulfobacterales	order	2	0.00197925738263
611894955_NA0019790070_4_mouth	Desulfobulbaceae	family	2	0.00197925738263
611894955_NA0019790070_4_mouth	Campylobacterales	order	562	0.556171324519
611894955_NA0019790070_4_mouth	Selenomonas genomosp. P5	species	8	0.00791702953052
611894955_NA0019790070_4_mouth	Veillonella rodentium	species	40	0.0395851476526
611894955_NA0019790070_4_mouth	Oribacterium	genus	236	0.23355237115
611894955_NA0019790070_4_mouth	Actinomyces dentalis	species	2	0.00197925738263
611894955_NA0019790070_4_mouth	Capnocytophaga genosp. AHN8471	species	11	0.0108859156045
611894955_NA0019790070_4_mouth	Peptostreptococcus stomatis	species	360	0.356266328873
611894955_NA0019790070_4_mouth	Bergeyella sp. AF14	species	236	0.23355237115
611894955_NA0019790070_4_mouth	Howardella	genus	3	0.00296888607395
611894955_NA0019790070_4_mouth	Aggregatibacter	genus	69	0.0682843797007
611894955_NA0019790070_4_mouth	Streptococcus sp. 11aTha1	species	22909	22.6714036893
611894955_NA0019790070_4_mouth	Veillonella rogosae	species	73	0.072242894466
611894955_NA0019790070_4_mouth	Prevotella nanceiensis	species	1872	1.85258491014
611894955_NA0019790070_4_mouth	Prevotella maculosa	species	15	0.0148444303697
611894955_NA0019790070_4_mouth	Lachnoanaerobaculum saburreum	species	29	0.0286992320481
611894955_NA0019790070_4_mouth	Synergistetes	phylum	59	0.0583880927876
611894955_NA0019790070_4_mouth	Erysipelotrichia	class	232	0.229593856385
611894955_NA0019790070_4_mouth	Erysipelotrichales	order	232	0.229593856385
611894955_NA0019790070_4_mouth	Mycoplasma sp. M221-9	species	42	0.0415644050352
611894955_NA0019790070_4_mouth	Clostridiales incertae sedis	no_rank	231	0.228604227694
611894955_NA0019790070_4_mouth	Bacillales incertae sedis	no_rank	6004	5.94173066266
611894955_NA0019790070_4_mouth	Bacillales Family XI. Incertae Sedis	no_rank	6004	5.94173066266
611894955_NA0019790070_4_mouth	Ruminococcaceae	family	7	0.00692740083921
611894955_NA0019790070_4_mouth	Parvimonas	genus	350	0.34637004196
611894955_NA0019790070_4_mouth	Clostridiales Family XIII. Incertae Sedis	family	231	0.228604227694
611894955_NA0019790070_4_mouth	Tenericutes	phylum	44	0.0435436624179
611894955_NA0019790070_4_mouth	Leptotrichia hongkongensis	species	13	0.0128651729871
611894955_NA0019790070_4_mouth	Lautropia sp. TeTO	species	63	0.0623466075528
611894955_NA0019790070_4_mouth	Synergistia	class	59	0.0583880927876
611894955_NA0019790070_4_mouth	Synergistales	order	59	0.0583880927876
611894955_NA0019790070_4_mouth	Synergistaceae	family	59	0.0583880927876
611894955_NA0019790070_4_mouth	Fretibacterium fastidiosum	species	10	0.00989628691315
611894955_NA0019790070_4_mouth	Leptotrichia sp. oral taxon 225	species	4	0.00395851476526
611894955_NA0019790070_4_mouth	Veillonella sp. oral taxon 780	species	32	0.0316681181221
611894955_NA0019790070_4_mouth	Neisseria skkuensis	species	69	0.0682843797007
611894955_NA0019790070_4_mouth	Capnocytophaga sp. oral taxon 329	species	88	0.0870873248357
611894955_NA0019790070_4_mouth	Desulfobulbus sp. oral taxon 041	species	2	0.00197925738263
611894955_NA0019790070_4_mouth	Oribacterium sp. oral taxon 108	species	24	0.0237510885916
611894955_NA0019790070_4_mouth	Peptococcus sp. oral taxon 168	species	11	0.0108859156045
611894955_NA0019790070_4_mouth	Streptococcus sp. oral taxon G59	species	4	0.00395851476526
611894955_NA0019790070_4_mouth	Tannerella sp. oral taxon HOT-286	species	10	0.00989628691315
611894955_NA0019790070_4_mouth	Leptotrichia sp. PTE15	species	39	0.0385955189613
611894955_NA0019790070_4_mouth	Stomatobaculum longum	species	10	0.00989628691315
611894955_NA0019790070_4_mouth	Selenomonadales	order	128	0.126672472488
611894955_NA0019790070_4_mouth	Negativicutes	class	11872	11.7488718233
611894955_NA0019790070_4_mouth	Veillonella sp. CM60	species	37	0.0366162615787
611894955_NA0019790070_4_mouth	Oribacterium sp. CM12	species	212	0.209801282559
611894955_NA0019790070_4_mouth	Veillonella sp. MSA12	species	26	0.0257303459742
611894955_NA0019790070_4_mouth	Lachnoanaerobaculum sp. OBRC5-5	species	56	0.0554192067136
611894955_NA0019790070_4_mouth	Actinomyces sp. ZSY-1	species	2	0.00197925738263
611894955_NA0019790070_4_mouth	Fusobacterium sp. OBRC1	species	75	0.0742221518486
611894955_NA0019790070_4_mouth	Veillonella sp. JL-2	species	37	0.0366162615787
611894955_NA0019790070_4_mouth	Actinomyces sp. ICM39	species	18	0.0178133164437
611894955_NA0019790070_4_mouth	Actinomyces sp. ICM58	species	312	0.30876415169
611894955_NA0019790070_4_mouth	Neisseria oralis	species	66	0.0653154936268
611894955_NA0019790070_4_mouth	Actinomyces sp. ph3	species	303	0.299857493468
611894955_NA0019790070_4_mouth	Leptotrichiaceae	family	503	0.497783231731
611894955_NA0019790070_4_mouth	Lachnoanaerobaculum	genus	85	0.0841184387618
611894955_NA0019790070_4_mouth	Streptococcus sp. GMD6S	species	66	0.0653154936268
611894955_NA0019790070_4_mouth	Streptococcus sp. HPH0090	species	10	0.00989628691315
611894955_NA0019790070_4_mouth	Stomatobaculum	genus	90	0.0890665822184
611894955_NA0019790070_4_mouth	Atopobium sp. S4-A11a	species	9	0.00890665822184
611894955_NA0019790070_4_mouth	Peptostreptococcus sp. MV1	species	6	0.00593777214789
611894955_NA0019790070_4_mouth	Streptococcus sp. 2011_Oral_MS_A3	species	2636	2.60866123031
611894955_NA0019790070_4_mouth	Veillonella sp. 2011_Ileo_VSA_E1	species	4	0.00395851476526
611894955_NA0019790070_4_mouth	Veillonella sp. 2011_Oral_VSA_B12	species	180	0.178133164437
611894955_NA0019790070_4_mouth	Veillonella sp. 2011_Oral_VSA_D3	species	7259	7.18371467026
611894955_NA0019790070_4_mouth	Rothia sp. THG-N7	species	32	0.0316681181221
611894955_NA0019790070_4_mouth	Rothia sp. THG-T3	species	12	0.0118755442958
611894955_NA0019790070_4_mouth	Alloprevotella	genus	121	0.119745071649
611894955_NA0019790070_4_mouth	Porphyromonas sp. S8 86-12	species	6	0.00593777214789
611894955_NA0019790070_4_mouth	Candidatus Saccharimonas	genus	250	0.247407172829
611894955_NA0019790070_4_mouth	Streptobacillus felis	species	10	0.00989628691315
611894955_NA0019790070_4_mouth	Tessaracoccus lapidicaptus	species	28	0.0277096033568
611894955_NA0019790070_4_mouth	Fretibacterium	genus	20	0.0197925738263
611894955_NA0019790070_4_mouth	Peptoclostridium	genus	25	0.0247407172829
611894955_NA0019790070_4_mouth	Peptoniphilaceae	family	350	0.34637004196
611894955_NA0019790070_4_mouth	Atopobiaceae	family	14	0.0138548016784
611894955_NA0019790070_4_mouth	Tissierellia	class	350	0.34637004196
611894955_NA0019790070_4_mouth	Tissierellales	order	350	0.34637004196
611894955_NA0019790070_4_mouth	Bacteria candidate phyla	no_rank	2026	2.0049877286
611894955_NA0019790070_4_mouth	FCB group	no_rank	20013	19.8054389993
611894955_NA0019790070_4_mouth	Terrabacteria group	no_rank	66668	65.9765655926
611894955_NA0019790070_4_mouth	Veillonellales	order	11744	11.6221993508
611894955_NA0019790070_4_mouth	Selenomonadaceae	family	125	0.123703586414
611894955_NA0019790070_4_mouth	Cutibacterium	genus	2	0.00197925738263
611894955_NA0019790070_4_mouth	Pseudopropionibacterium	genus	5	0.00494814345658
611894955_NA0019790070_4_mouth	Tannerellaceae	family	24	0.0237510885916
611895111_NA0019790065_4_mouth	root	root	115914	100.0
611895111_NA0019790065_4_mouth	Bacteria	superkingdom	115914	100.0
611895111_NA0019790065_4_mouth	Simonsiella	genus	8	0.00690166847835
611895111_NA0019790065_4_mouth	Simonsiella muelleri	species	8	0.00690166847835
611895111_NA0019790065_4_mouth	Spirochaetales	order	76	0.0655658505444
611895111_NA0019790065_4_mouth	Campylobacter	genus	960	0.828200217403
611895111_NA0019790065_4_mouth	Campylobacter concisus	species	907	0.782476663733
611895111_NA0019790065_4_mouth	Campylobacter rectus	species	35	0.0301947995928
611895111_NA0019790065_4_mouth	Comamonas	genus	3	0.00258812567938
611895111_NA0019790065_4_mouth	Neisseriaceae	family	4320	3.72690097831
611895111_NA0019790065_4_mouth	Neisseria	genus	4227	3.64666908225
611895111_NA0019790065_4_mouth	Neisseria cinerea	species	4	0.00345083423918
611895111_NA0019790065_4_mouth	Neisseria mucosa	species	3959	3.41546318823
611895111_NA0019790065_4_mouth	Neisseria elongata	species	28	0.0241558396742
611895111_NA0019790065_4_mouth	Neisseria macacae	species	95	0.0819573131805
611895111_NA0019790065_4_mouth	Kingella oralis	species	32	0.0276066739134
611895111_NA0019790065_4_mouth	Eikenella	genus	32	0.0276066739134
611895111_NA0019790065_4_mouth	Eikenella corrodens	species	32	0.0276066739134
611895111_NA0019790065_4_mouth	Pasteurellaceae	family	8139	7.02158496817
611895111_NA0019790065_4_mouth	Actinobacillus	genus	143	0.123367324051
611895111_NA0019790065_4_mouth	Haemophilus	genus	7905	6.81971116517
611895111_NA0019790065_4_mouth	Haemophilus influenzae	species	465	0.401159480304
611895111_NA0019790065_4_mouth	Haemophilus parainfluenzae	species	7427	6.40733647359
611895111_NA0019790065_4_mouth	Aggregatibacter aphrophilus	species	74	0.0638404334248
611895111_NA0019790065_4_mouth	Aggregatibacter segnis	species	17	0.0146660455165
611895111_NA0019790065_4_mouth	Bacteroidaceae	family	98	0.0845454388598
611895111_NA0019790065_4_mouth	Bacteroides	genus	98	0.0845454388598
611895111_NA0019790065_4_mouth	Bacteroides fragilis	species	2	0.00172541711959
611895111_NA0019790065_4_mouth	Bacteroides vulgatus	species	56	0.0483116793485
611895111_NA0019790065_4_mouth	Parabacteroides distasonis	species	19	0.0163914626361
611895111_NA0019790065_4_mouth	Campylobacter gracilis	species	16	0.0138033369567
611895111_NA0019790065_4_mouth	Porphyromonas	genus	6051	5.22024949532
611895111_NA0019790065_4_mouth	Prevotella	genus	6919	5.96908052522
611895111_NA0019790065_4_mouth	Roseburia	genus	7	0.00603895991856
611895111_NA0019790065_4_mouth	Fusobacterium	genus	2436	2.10155805166
611895111_NA0019790065_4_mouth	Fusobacterium nucleatum	species	243	0.20963818003
611895111_NA0019790065_4_mouth	Faecalibacterium prausnitzii	species	48	0.0414100108701
611895111_NA0019790065_4_mouth	Fusobacterium periodonticum	species	2113	1.82290318685
611895111_NA0019790065_4_mouth	Cardiobacteriaceae	family	2	0.00172541711959
611895111_NA0019790065_4_mouth	Desulfobulbus	genus	2	0.00172541711959
611895111_NA0019790065_4_mouth	Megasphaera	genus	245	0.21136359715
611895111_NA0019790065_4_mouth	Selenomonas	genus	28	0.0241558396742
611895111_NA0019790065_4_mouth	Bacteroidetes	phylum	25267	21.7980571803
611895111_NA0019790065_4_mouth	Capnocytophaga	genus	273	0.235519436824
611895111_NA0019790065_4_mouth	Capnocytophaga gingivalis	species	105	0.0905843987784
611895111_NA0019790065_4_mouth	Capnocytophaga ochracea	species	14	0.0120779198371
611895111_NA0019790065_4_mouth	Capnocytophaga sputigena	species	30	0.0258812567938
611895111_NA0019790065_4_mouth	Proteobacteria	phylum	13524	11.6672705627
611895111_NA0019790065_4_mouth	Gammaproteobacteria	class	8141	7.02331038529
611895111_NA0019790065_4_mouth	Firmicutes	phylum	60692	52.359507911
611895111_NA0019790065_4_mouth	Peptostreptococcus	genus	351	0.302810704488
611895111_NA0019790065_4_mouth	Sarcina	genus	44	0.037959176631
611895111_NA0019790065_4_mouth	Micrococcaceae	family	5923	5.10982279966
611895111_NA0019790065_4_mouth	Staphylococcus	genus	2	0.00172541711959
611895111_NA0019790065_4_mouth	Streptococcaceae	family	28781	24.8296150594
611895111_NA0019790065_4_mouth	Streptococcus	genus	28776	24.8253015166
611895111_NA0019790065_4_mouth	Streptococcus gordonii	species	34	0.029332091033
611895111_NA0019790065_4_mouth	Streptococcus thermophilus	species	7	0.00603895991856
611895111_NA0019790065_4_mouth	Streptococcus parasanguinis	species	4819	4.15739254965
611895111_NA0019790065_4_mouth	Gemella	genus	7285	6.2848318581
611895111_NA0019790065_4_mouth	Atopobium	genus	20	0.0172541711959
611895111_NA0019790065_4_mouth	Atopobium parvulum	species	5	0.00431354279897
611895111_NA0019790065_4_mouth	Atopobium rimae	species	4	0.00345083423918
611895111_NA0019790065_4_mouth	Bacillales	order	7291	6.29000810946
611895111_NA0019790065_4_mouth	Clostridium	genus	2	0.00172541711959
611895111_NA0019790065_4_mouth	Corynebacteriaceae	family	285	0.245871939541
611895111_NA0019790065_4_mouth	Actinomyces	genus	3850	3.32142795521
611895111_NA0019790065_4_mouth	Actinomyces viscosus	species	151	0.130268992529
611895111_NA0019790065_4_mouth	Actinomyces odontolyticus	species	2856	2.46389564677
611895111_NA0019790065_4_mouth	Bifidobacterium	genus	30	0.0258812567938
611895111_NA0019790065_4_mouth	Bifidobacterium adolescentis	species	30	0.0258812567938
611895111_NA0019790065_4_mouth	Corynebacterium	genus	285	0.245871939541
611895111_NA0019790065_4_mouth	Propionibacterium	genus	6	0.00517625135877
611895111_NA0019790065_4_mouth	Pseudopropionibacterium propionicum	species	7	0.00603895991856
611895111_NA0019790065_4_mouth	Actinobacteria	class	10255	8.84707628069
611895111_NA0019790065_4_mouth	Mycobacteriaceae	family	112	0.096623358697
611895111_NA0019790065_4_mouth	Mycobacterium	genus	22	0.0189795883155
611895111_NA0019790065_4_mouth	Actinomycetales	order	3854	3.32487878945
611895111_NA0019790065_4_mouth	Rothia dentocariosa	species	586	0.505547216039
611895111_NA0019790065_4_mouth	Actinomycetaceae	family	3854	3.32487878945
